name,category,description,is_free,typical_price,dependencies,tags
Press Kit,PR,"Brand story, photos, facts",True,Free,Brand Kit,['pr']
Media Outreach,PR,Local press list + scripts,False,$49–$149,Press Kit,['pr']
UGC Creator Sourcing,Social,Find creators for your niche,False,$49–$149,Social Setup,['ugc']
Inventory & SKU Setup,Ops,"SKU system, categories",True,Free,Online Store Setup,['ops']
Shipping & Returns Policy,Ops,Branded policy templates,True,Free,Online Store Setup,['ops']
Coupon & Bundle Strategy,Marketing,Promos w/ margin guardrails,True,Free,Online Store Setup,['promo']
Photo/Video Shoot Plan,Content,Shotlist & style guide,True,Free,Brand Kit,['content']
Canva Brand Workspace,Brand,Templates library setup,True,Free,Brand Kit,['canva']
Help Center + FAQ,Support,Top questions + answers,True,Free,Knowledge Base,['support']
Hiring Starter Pack,HR,"Job posts, interviews, onboarding",True,Free,SOP Starter Pack,['hr']
Contractor/Vendor Network,Ops,Curated vendors + SOPs,True,Free,SOP Starter Pack,['ops']
Fleet & Route Planner,Ops,Routing for mobile services,False,$49–$149,Scheduling & Meetings,['routing']
Scheduling & Meetings,Scheduling,Calendly/Cal.com + buffers,True,Free,,['scheduling']
Service Pricing Calculator,Finance,"Rate cards, margins",True,Free,,['pricing']
Event Ticketing/RSVP,Events,"Tickets, RSVPs, check-in",False,$49–$149,Website Starter,['events']
Sponsorship Deck,Events,Pitch brands for support,True,Free,Press Kit,['events']
Community/Discord Setup,Community,"Channels, rules, roles",True,Free,Brand Kit,['community']
Volunteer Onboarding,Nonprofit,"Forms, training, shifts",True,Free,Nonprofit Pack,['nonprofit']
Donor CRM,Nonprofit,Track donors & gifts,False,$49–$149,Donations/Tithes,['nonprofit']
Grant Calendar,Finance,Deadlines & alerts,True,Free,Grants Finder,['grants']
Kiosk/QR Ordering,Commerce,On-site QR menus,False,$49–$149,Payments Setup,['qr']
Menu Engineering,Food,Profit-focused menu design,False,$49–$99,Pricing Calculator,['food']
Food Safety SOP,Food,Storage/cook/clean SOPs,True,Free,Food Cottage Compliance,['food']
Catering Kit,Food,"Contracts, quote calc",True,Free,Invoicing & Estimates,['food']
Wholesale Outreach,B2B,Email scripts & tracker,True,Free,CRM & Pipeline,['b2b']
B2B Lead Magnet,B2B,"Case study, checklist",True,Free,Landing Pages & Funnels,['b2b']
Open House Kit,Real Estate,"Signs, sheets, follow-up",True,Free,Real Estate Agent Kit,['real estate']
IDX/Listing Embed,Real Estate,Lead forms + listings,False,$79–$199,Website Starter,['real estate']
Tenant Onboarding,Property Mgmt,"Apps, leases, portals",False,$49–$149,CRM & Pipeline,['property']
Safety & Waivers,Kids/Events,Digital waivers,False,$19–$49,Website Starter,['safety']
Photo Gallery & Proofing,Creative,Client galleries & sales,False,$49–$149,Website Starter,['photo']
Podcast Distribution,Creative,"RSS, platforms, cover art",False,$49–$99,Brand Kit,['podcast']
Music Release Kit,Creative,DSP distribution guide,True,Free,Brand Kit,['music']
YouTube Starter,Creator,Channel setup + thumbnails,True,Free,Brand Kit,['youtube']
Barber/Salon Kit,Industry,"Menu, booking, POS, memberships",False,$49–$149,Online Booking,['beauty']
Fitness Coach Kit,Industry,"Programs, progress tracker, app",False,$49–$149,Scheduling & Meetings,['fitness']
Tutor Kit,Industry,"Curriculum, scheduling, parent updates",False,$49–$149,Scheduling & Meetings,['education']
Mobile Massage Kit,Industry,"Intake, route, compliance tips",False,$49–$149,Online Booking,['wellness']
Contractor Estimator,Industry,Templates & calculators,True,Free,Invoicing & Estimates,['trades']
Event Planner Kit,Industry,"Timelines, vendor lists, proposals",False,$49–$149,Proposal & Quote Templates,['events']
Wedding Vendor Kit,Industry,"Packages, contracts, shotlists",False,$49–$149,Service Agreement Templates,['events']
Mobile Notary Kit,Industry,"Appointment scripts, logs",True,Free,Scheduling & Meetings,['legal']
Mobile Food Vendor Kit,Industry,"Permits, commissary, POS",False,$49–$149,Food Cottage Compliance,['food']
Car Detailing Media Pack,Industry,Before/after system + offers,False,$49–$149,Marketing Kit,['auto']
