id,category,name,description,starter_blocks,growth_blocks
22,Local Service,Garage Door Repair,Install and repair garage doors,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,CRM & Pipeline,Local SEO Starter,Local Ads Starter"
23,Local Service,Fence Installation,Build and repair fences,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Quote Calculator,Before/After Gallery,Local SEO Starter"
24,Local Service,Deck Building,Construct outdoor decks and patios,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Review Manager,Quote Calculator,Local Ads Starter"
25,Local Service,Flooring Installation,Install hardwood tile carpet,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Before/After Gallery,Quote Calculator,Local SEO Starter"
26,Pet Services,Dog Walking Service,Daily dog walks for busy owners,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Recurring Billing,Pet Profile System,Local SEO Starter"
27,Pet Services,Pet Sitting,In-home pet care while owners travel,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Pet Profile System,CRM & Pipeline,Local Ads Starter"
28,Pet Services,Pet Grooming Mobile,Mobile grooming at customer homes,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Pet Profile System,Local SEO Starter"
29,Pet Services,Pet Grooming Salon,Full-service grooming salon,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Pet Profile System,Recurring Billing,Local Ads Starter"
30,Pet Services,Dog Training,Obedience and behavior training,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Course Platform,Video Content,Local SEO Starter"
31,Pet Services,Puppy Training Classes,Group puppy socialization classes,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Class Scheduler,Email Series,Local Ads Starter"
32,Pet Services,Pet Photography,Professional pet portraits,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Review Manager,Before/After Gallery,Social Media Kit"
33,Pet Services,Pet Waste Removal,Yard cleanup service for dog owners,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Recurring Billing,Local SEO Starter,Route Optimizer"
34,Pet Services,Pet Bakery,Homemade treats and pet food,"Name & Logo,Legal Setup,Store Setup,Payments Setup","Product Photography,Review Manager,Email Series,Social Media Kit"
35,Pet Services,Pet Boarding,Overnight pet hotel and boarding,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Pet Profile System,CRM & Pipeline,Local Ads Starter"
36,Online Store,Dropshipping Store,Sell products without inventory,"Name & Logo,Store Setup,Payments Setup,Product Listings","Facebook Ads Starter,Email Welcome Series,Review Manager,CRM & Pipeline"
37,Online Store,Print-on-Demand Merch,Custom apparel and accessories,"Name & Logo,Store Setup,Payments Setup,Product Listings","Facebook Ads Starter,Instagram Growth,Email Series,Design Templates"
38,Online Store,Faith-Based Apparel,Christian or inspirational clothing,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Facebook Ads Starter,Instagram Growth,Review Manager"
39,Online Store,Handmade Jewelry,Custom artisan jewelry,"Name & Logo,Store Setup,Payments Setup,Product Listings","Product Photography,Instagram Growth,Email Series,Review Manager"
40,Online Store,Eco-Friendly Products,Sustainable and green products,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Facebook Ads Starter,Review Manager,Brand Story"
41,Online Store,Beauty Products,Skincare and cosmetics line,"Name & Logo,Store Setup,Payments Setup,Product Listings","Product Photography,Instagram Growth,Email Series,Influencer Kit"
42,Online Store,Fitness Supplements,Vitamins and workout nutrition,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Facebook Ads Starter,Affiliate Program,Review Manager"
43,Online Store,Pet Supplies Store,Dog and cat products online,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Facebook Ads Starter,Review Manager,CRM & Pipeline"
44,Online Store,Baby Products,Products for new parents,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Facebook Ads Starter,Review Manager,Pinterest Ads"
45,Online Store,Home Decor Shop,Wall art furniture accents,"Name & Logo,Store Setup,Payments Setup,Product Listings","Product Photography,Instagram Growth,Email Series,Facebook Ads Starter"
46,Online Store,Coffee Subscription,Monthly coffee delivery service,"Name & Logo,Store Setup,Payments Setup,Recurring Billing","Email Welcome Series,Subscription Manager,Review Manager,Instagram Growth"
47,Online Store,Meal Prep Kits,Healthy meal delivery service,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Facebook Ads Starter,Review Manager,Nutrition Guide"
48,Online Store,Candle Business,Handmade scented candles,"Name & Logo,Store Setup,Payments Setup,Product Listings","Product Photography,Instagram Growth,Email Series,Etsy Optimization"
49,Online Store,Phone Accessories,Cases chargers and tech gadgets,"Name & Logo,Store Setup,Payments Setup,Product Listings","Facebook Ads Starter,Email Series,Review Manager,TikTok Ads"
50,Online Store,Gaming Accessories,Controllers headsets gear,"Name & Logo,Store Setup,Payments Setup,Product Listings","TikTok Ads,Email Series,Review Manager,Twitch Integration"
51,Creator Business,YouTube Channel,Video content creator,"Name & Logo,Website Starter,Payments Setup,Social Media Kit","Email Welcome Series,Brand Partnerships,Merch Store,Video Templates"
52,Creator Business,Podcast,Audio content and interviews,"Name & Logo,Website Starter,Payments Setup,Social Media Kit","Email Welcome Series,Sponsor Kit,Audiogram Generator,Podcast Distribution"
53,Creator Business,TikTok Creator,Short-form viral content,"Name & Logo,Website Starter,Payments Setup,Social Media Kit","Brand Partnerships,Merch Store,Email Series,TikTok Ads"
54,Creator Business,Instagram Influencer,Photo and story content,"Name & Logo,Website Starter,Payments Setup,Social Media Kit","Brand Partnerships,Media Kit,Email Series,Instagram Growth"
55,Creator Business,Twitch Streamer,Live gaming and entertainment,"Name & Logo,Website Starter,Payments Setup,Social Media Kit","Donation Setup,Subscriber Perks,Merch Store,Stream Graphics"
56,Creator Business,Newsletter Writer,Substack or email publication,"Name & Logo,Website Starter,Payments Setup,Email Platform","Email Welcome Series,Subscription Manager,Sponsor Kit,Content Calendar"
57,Creator Business,Online Course Creator,Teach skills and expertise,"Name & Logo,Website Starter,Payments Setup,Course Platform","Email Welcome Series,Affiliate Program,Video Hosting,Student Portal"
58,Creator Business,Digital Artist,Sell art prints and commissions,"Name & Logo,Store Setup,Payments Setup,Portfolio Site","Instagram Growth,Email Series,Print-on-Demand,Commission Form"
59,Creator Business,Stock Photographer,License photos to buyers,"Name & Logo,Website Starter,Payments Setup,Portfolio Site","Email Series,Licensing Agreement,Stock Site Integration,Watermark Tool"
60,Creator Business,Music Producer,Beats tracks and production,"Name & Logo,Website Starter,Payments Setup,Portfolio Site","Beat Store,Email Series,Sample Packs,Licensing System"
61,Coaching,Life Coach,Personal development coaching,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Course Platform,CRM & Pipeline,Testimonial Generator"
62,Coaching,Business Coach,Help entrepreneurs grow,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Course Platform,CRM & Pipeline,Group Coaching Setup"
63,Coaching,Health Coach,Wellness and nutrition guidance,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Meal Planning Tool,CRM & Pipeline,Testimonial Generator"
64,Coaching,Fitness Coach,Personal training and workouts,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Workout Library,CRM & Pipeline,Progress Tracker"
65,Coaching,Career Coach,Job search and career guidance,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Resume Templates,CRM & Pipeline,LinkedIn Optimization"
66,Coaching,Financial Coach,Budgeting and money management,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Budget Calculator,CRM & Pipeline,Debt Payoff Planner"
67,Coaching,Relationship Coach,Couples and dating coaching,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Assessment Tools,CRM & Pipeline,Testimonial Generator"
68,Coaching,Executive Coach,Leadership development for executives,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,360 Assessment,CRM & Pipeline,Group Coaching Setup"
69,Coaching,Parenting Coach,Support for parents and families,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Resource Library,CRM & Pipeline,Group Sessions"
70,Coaching,Mindfulness Coach,Meditation and stress reduction,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Meditation Library,CRM & Pipeline,Progress Tracker"
71,Consulting,Marketing Consultant,Strategy for businesses,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Audit Template,CRM & Pipeline,Case Studies"
72,Consulting,SEO Consultant,Search engine optimization,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,SEO Audit Tool,CRM & Pipeline,Reporting Dashboard"
73,Consulting,Social Media Consultant,Social strategy and growth,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Content Calendar,CRM & Pipeline,Analytics Reports"
74,Consulting,HR Consultant,Human resources guidance,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Policy Templates,CRM & Pipeline,Compliance Checklist"
75,Consulting,IT Consultant,Technology solutions for business,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Tech Stack Audit,CRM & Pipeline,Proposal Templates"
76,Consulting,Operations Consultant,Process improvement,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,SOP Templates,CRM & Pipeline,Efficiency Audit"
77,Consulting,Real Estate Consultant,Property investment advice,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Deal Calculator,CRM & Pipeline,Market Reports"
78,Consulting,Sustainability Consultant,Green business practices,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Carbon Calculator,CRM & Pipeline,Certification Guide"
79,Consulting,Cybersecurity Consultant,Security audits and protection,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Security Audit,CRM & Pipeline,Compliance Checklist"
80,Consulting,Immigration Consultant,Visa and immigration help,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Document Checklist,CRM & Pipeline,Case Tracker"
81,Nonprofit,Church Website,Website for congregation,"Name & Logo,Website Starter,Donation Setup,Event Calendar","Email Welcome Series,Sermon Archive,Volunteer Portal,Prayer Request Form"
82,Nonprofit,Nonprofit Organization,Charitable organization setup,"Name & Logo,Website Starter,Donation Setup,Legal Setup","Email Welcome Series,Grant Finder,Volunteer Management,Impact Reports"
83,Nonprofit,Youth Ministry,Programs for young people,"Name & Logo,Website Starter,Donation Setup,Event Calendar","Email Welcome Series,Registration Forms,Parent Portal,Social Media Kit"
84,Nonprofit,Community Center,Local gathering place,"Name & Logo,Website Starter,Booking System,Donation Setup","Email Welcome Series,Facility Rental,Event Calendar,Membership Portal"
85,Nonprofit,Animal Rescue,Save and rehome animals,"Name & Logo,Website Starter,Donation Setup,Pet Profile System","Email Welcome Series,Adoption Application,Volunteer Portal,Foster Network"
86,Nonprofit,Food Bank,Distribute food to those in need,"Name & Logo,Website Starter,Donation Setup,Volunteer Portal","Email Welcome Series,Inventory System,Partner Network,Impact Reports"
87,Nonprofit,Homeless Shelter,Provide housing assistance,"Name & Logo,Website Starter,Donation Setup,Volunteer Portal","Email Welcome Series,Intake Forms,Case Management,Resource Directory"
88,Nonprofit,Scholarship Fund,Support students financially,"Name & Logo,Website Starter,Donation Setup,Application Forms","Email Welcome Series,Selection System,Award Tracking,Impact Reports"
89,Nonprofit,Environmental Advocacy,Protect natural resources,"Name & Logo,Website Starter,Donation Setup,Petition System","Email Welcome Series,Action Alerts,Volunteer Portal,Impact Reports"
90,Nonprofit,Arts Organization,Support local artists,"Name & Logo,Website Starter,Donation Setup,Event Calendar","Email Welcome Series,Artist Directory,Grant Applications,Gallery Portal"
91,Digital Service,Website Design Service,Build sites for clients,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Proposal Templates"
92,Digital Service,Graphic Design Service,Logos and branding for hire,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Design Packages"
93,Digital Service,Social Media Management,Manage clients social accounts,"Name & Logo,Website Starter,Booking System,Payments Setup","Content Calendar,Email Welcome Series,CRM & Pipeline,Reporting Dashboard"
94,Digital Service,Virtual Assistant,Administrative support remotely,"Name & Logo,Website Starter,Booking System,Payments Setup","Service Menu,Email Welcome Series,CRM & Pipeline,Time Tracking"
95,Digital Service,Copywriting Service,Write sales copy and content,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Sample Library"
96,Digital Service,Video Editing Service,Edit videos for creators and brands,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Turnaround Calculator"
97,Digital Service,Podcast Editing,Audio editing and production,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Sample Episodes"
98,Digital Service,Resume Writing Service,Professional resume creation,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,CRM & Pipeline,Template Library,LinkedIn Service"
99,Digital Service,Transcription Service,Convert audio to text,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,CRM & Pipeline,Turnaround Calculator,Bulk Pricing"
100,Digital Service,Data Entry Service,Organize and input data,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,CRM & Pipeline,Accuracy Guarantee,Bulk Pricing"
101,Tech & Digital,App Development Service,Build iOS and Android apps,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Tech Stack"
102,Tech & Digital,SEO Service for Local Business,Help local businesses rank,"Name & Logo,Website Starter,Booking System,Payments Setup","SEO Audit Tool,Email Welcome Series,CRM & Pipeline,Reporting Dashboard"
103,Tech & Digital,Website Accessibility Audit,WCAG compliance testing,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Audit Template,CRM & Pipeline,Compliance Reports"
104,Tech & Digital,WordPress Maintenance,Keep WordPress sites updated,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Recurring Billing,CRM & Pipeline,Security Monitoring"
105,Tech & Digital,Tech Support for Seniors,Patient tech help for elderly,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,CRM & Pipeline,Service Menu,Video Tutorials"
106,Tech & Digital,Shopify Setup Service,Build Shopify stores for clients,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Email Welcome Series,CRM & Pipeline,Store Templates"
107,Tech & Digital,LinkedIn Profile Optimization,Improve LinkedIn presence,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Before/After Gallery,CRM & Pipeline,Headline Generator"
108,Tech & Digital,AI Automation Consultant,No-code AI workflows,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Use Case Library,CRM & Pipeline,ROI Calculator"
109,Tech & Digital,Zapier Automation Expert,Connect apps without code,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Workflow Library,CRM & Pipeline,Template Gallery"
110,Tech & Digital,Notion Template Creator,Build custom Notion systems,"Name & Logo,Store Setup,Payments Setup,Product Listings","Product Photography,Email Series,Affiliate Program,Template Showcase"
111,Healthcare,Mobile IV Therapy,In-home hydration therapy,"Name & Logo,Legal Setup,Booking System,Payments Setup","CRM & Pipeline,Review Manager,Medical Compliance,Local Ads Starter"
112,Healthcare,Health Coach Certification,Certify health coaches,"Name & Logo,Website Starter,Course Platform,Payments Setup","Email Welcome Series,Student Portal,Certificate Generator,Affiliate Program"
113,Healthcare,Meal Planning for Diabetics,Custom diabetic meal plans,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Recipe Library,CRM & Pipeline,Nutrition Calculator"
114,Healthcare,Mental Health First Aid,Teach mental health response,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Course Platform,Certificate Generator,Group Sessions"
115,Healthcare,Mobile Yoga Instructor,Yoga classes at client locations,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Class Scheduler,CRM & Pipeline,Video Library"
116,Healthcare,Meditation Coach,Teach meditation practices,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Meditation Library,CRM & Pipeline,Progress Tracker"
117,Healthcare,Sound Healing Practitioner,Therapeutic sound sessions,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Session Recordings,CRM & Pipeline,Review Manager"
118,Healthcare,Reiki Practitioner,Energy healing sessions,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,CRM & Pipeline,Review Manager,Treatment Packages"
119,Healthcare,Mobile Chiropractor,In-home chiropractic care,"Name & Logo,Legal Setup,Booking System,Payments Setup","CRM & Pipeline,Review Manager,Medical Compliance,Local SEO Starter"
120,Healthcare,Lactation Consultant,Breastfeeding support,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Resource Library,CRM & Pipeline,Telehealth Setup"
121,Education,Daycare Center,Full-time childcare facility,"Name & Logo,Legal Setup,Booking System,Payments Setup","Enrollment System,Parent Portal,Email Series,Curriculum Planner"
122,Education,Home Daycare,In-home childcare service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Parent Portal,Email Series,Daily Reports,Meal Planning"
123,Education,After-School Care,Supervised care after school,"Name & Logo,Legal Setup,Booking System,Payments Setup","Enrollment System,Parent Portal,Email Series,Activity Calendar"
124,Education,Homework Help Tutor,Academic tutoring service,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Subject Library,CRM & Pipeline,Progress Reports"
125,Education,SAT ACT Test Prep,College entrance exam prep,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Practice Tests,CRM & Pipeline,Score Tracker"
126,Education,College Essay Coach,Help students write essays,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Sample Library,CRM & Pipeline,Review Process"
127,Education,Homeschool Curriculum,Guide homeschool families,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Resource Library,CRM & Pipeline,Curriculum Planner"
128,Education,STEM Camps,Science and tech summer camps,"Name & Logo,Website Starter,Booking System,Payments Setup","Registration Forms,Email Series,Parent Portal,Curriculum Guide"
129,Education,Coding Classes for Kids,Teach kids programming,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Course Platform,Student Portal,Project Gallery"
130,Education,Art Classes for Kids,Creative art instruction,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Class Scheduler,Parent Portal,Art Gallery"
131,Automotive,Mobile Mechanic,Car repairs at customer location,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Service Menu,Local SEO Starter"
132,Automotive,Mobile Oil Change,Oil changes at home or office,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Recurring Billing,Local Ads Starter"
133,Automotive,Car Detailing Mobile,Professional car cleaning service,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Review Manager,Before/After Gallery,Local SEO Starter"
134,Automotive,Auto Detailing Shop,Full-service detailing facility,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Before/After Gallery,Package Builder,Local Ads Starter"
135,Automotive,Car Wrapping Service,Vehicle wrap installation,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Review Manager,Quote Calculator,Before/After Gallery"
136,Automotive,Window Tinting,Automotive window tinting,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Before/After Gallery,Service Menu,Local SEO Starter"
137,Automotive,Dent Repair PDR,Paintless dent removal,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Before/After Gallery,Mobile Service,Local Ads Starter"
138,Automotive,Windshield Repair,Fix chips and cracks,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Mobile Service,Insurance Claims,Local SEO Starter"
139,Automotive,Car Rental Business,Rent vehicles to customers,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Insurance Manager,CRM & Pipeline,Review Manager"
140,Automotive,Exotic Car Rental,Luxury and sports car rental,"Name & Logo,Legal Setup,Booking System,Payments Setup","Fleet Tracker,Insurance Manager,CRM & Pipeline,Instagram Growth"
141,Real Estate,Real Estate Photography,Property photos for listings,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Review Manager,Before/After Gallery,Local SEO Starter"
142,Real Estate,Virtual Staging Service,Digitally stage empty homes,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Review Manager,Turnaround Calculator,Before/After Gallery"
143,Real Estate,Home Staging,Physical staging of properties,"Name & Logo,Website Starter,Booking System,Payments Setup","Portfolio Site,Review Manager,Inventory System,Local Ads Starter"
144,Real Estate,Property Management,Manage rental properties,"Name & Logo,Website Starter,Booking System,Payments Setup","Tenant Portal,Maintenance Tracker,CRM & Pipeline,Rent Collection"
145,Real Estate,Airbnb Co-Host Service,Manage Airbnb for owners,"Name & Logo,Website Starter,Booking System,Payments Setup","Listing Optimizer,Review Manager,CRM & Pipeline,Cleaning Scheduler"
146,Real Estate,Vacation Rental Cleaning,Clean short-term rentals,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Checklist System,Route Optimizer,Local SEO Starter"
147,Real Estate,Real Estate Virtual Assistant,Admin support for agents,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Service Menu,CRM & Pipeline,Time Tracking"
148,Real Estate,Transaction Coordinator,Manage real estate paperwork,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Checklist System,CRM & Pipeline,Document Templates"
149,Real Estate,Home Inspection Service,Inspect homes for buyers,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Report Templates,CRM & Pipeline,Local Ads Starter"
150,Real Estate,Radon Testing,Test homes for radon gas,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Report Templates,CRM & Pipeline,Local SEO Starter"
151,Sustainability,Solar Panel Consulting,Solar energy consultation,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,ROI Calculator,CRM & Pipeline,Proposal Templates"
152,Sustainability,Composting Service,Residential composting pickup,"Name & Logo,Legal Setup,Booking System,Payments Setup","Route Optimizer,Recurring Billing,Email Series,Local SEO Starter"
153,Sustainability,Zero-Waste Store,Package-free products,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Local Pickup,Review Manager,Instagram Growth"
154,Sustainability,Eco-Friendly Cleaning,Natural cleaning supplies,"Name & Logo,Store Setup,Payments Setup,Product Listings","Product Photography,Email Series,Subscription Manager,Facebook Ads Starter"
155,Sustainability,Refurbished Electronics,Sell restored devices,"Name & Logo,Store Setup,Payments Setup,Product Listings","Email Welcome Series,Warranty Manager,Review Manager,Quality Checklist"
156,Sustainability,Clothing Repair Service,Alterations and mending,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Price Calculator,Before/After Gallery,Local SEO Starter"
157,Sustainability,Bike Repair Shop,Bicycle maintenance and sales,"Name & Logo,Legal Setup,Booking System,Payments Setup","Review Manager,Service Menu,Inventory System,Local Ads Starter"
158,Sustainability,E-Waste Collection,Electronic waste recycling,"Name & Logo,Legal Setup,Booking System,Payments Setup","Route Optimizer,Email Series,Compliance Tracker,Local SEO Starter"
159,Sustainability,Native Plant Landscaping,Eco-friendly landscape design,"Name & Logo,Legal Setup,Booking System,Payments Setup","Portfolio Site,Review Manager,Plant Database,Local Ads Starter"
160,Sustainability,Urban Farm Consultant,Help people grow food in cities,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Resource Library,CRM & Pipeline,Workshop Calendar"
161,Events,Wedding DJ,Music for weddings,"Name & Logo,Website Starter,Booking System,Payments Setup","Email Welcome Series,Song Library,Review Manager,Package Builder"
